iter	Passed	Remaining
0	282	281844
1	283	141646
2	285	94964
3	288	71749
4	289	57682
5	291	48288
6	295	41864
7	296	36809
8	298	32857
9	299	29696
10	301	27123
11	303	24972
12	304	23154
13	307	21667
14	309	20303
15	310	19110
16	312	18061
17	314	17132
18	315	16296
19	317	15547
20	319	14871
21	322	14322
22	323	13753
23	325	13227
24	326	12742
25	328	12293
26	329	11882
27	331	11505
28	333	11151
29	334	10818
30	337	10561
31	339	10256
32	340	9971
33	341	9702
34	342	9447
35	344	9214
36	345	8995
37	347	8785
38	348	8585
39	351	8431
40	352	8254
41	354	8084
42	355	7920
43	357	7762
44	358	7611
45	360	7469
46	361	7333
47	363	7200
48	368	7148
49	374	7108
50	376	7006
51	379	6921
52	381	6814
53	382	6708
54	384	6604
55	385	6505
56	387	6409
57	388	6316
58	390	6222
59	391	6135
60	394	6077
61	396	5993
62	397	5910
63	398	5831
64	400	5755
65	401	5678
66	402	5606
67	403	5535
68	405	5467
69	406	5400
70	409	5354
71	410	5292
72	411	5231
73	413	5170
74	414	5111
75	415	5055
76	417	4999
77	418	4947
78	420	4899
79	421	4849
80	424	4820
81	426	4772
82	426	4717
83	428	4670
84	429	4625
85	431	4582
86	432	4539
87	434	4500
88	436	4465
89	439	4445
90	441	4409
91	442	4371
92	444	4335
93	445	4297
94	447	4259
95	448	4223
96	449	4187
97	451	4153
98	452	4118
99	454	4090
100	455	4058
101	457	4027
102	458	3996
103	460	3965
104	461	3934
105	462	3904
106	464	3875
107	465	3846
108	468	3833
109	470	3809
110	472	3787
111	474	3761
112	476	3739
113	477	3714
114	479	3688
115	480	3662
116	483	3649
117	485	3625
118	486	3601
119	487	3577
120	489	3554
121	490	3528
122	491	3505
123	493	3483
124	494	3461
125	495	3440
126	498	3428
127	500	3406
128	501	3386
129	503	3366
130	504	3348
131	506	3330
132	507	3309
133	509	3290
134	510	3270
135	513	3261
136	515	3244
137	516	3225
138	518	3209
139	519	3191
140	520	3173
141	521	3151
142	522	3133
143	524	3116
144	525	3099
145	529	3094
146	530	3078
147	531	3061
148	533	3045
149	534	3028
150	535	3012
151	537	2996
152	538	2981
153	539	2965
154	540	2949
155	543	2943
156	545	2928
157	546	2913
158	547	2898
159	549	2884
160	550	2867
161	551	2853
162	552	2838
163	554	2825
164	555	2811
165	558	2806
166	560	2795
167	561	2782
168	563	2769
169	564	2757
170	566	2748
171	568	2735
172	569	2723
173	570	2710
174	574	2706
175	575	2695
176	577	2683
177	578	2671
178	580	2661
179	581	2650
180	583	2639
181	585	2629
182	589	2630
183	591	2621
184	592	2611
185	596	2608
186	597	2599
187	607	2623
188	615	2641
189	626	2671
190	629	2666
191	632	2660
192	638	2670
193	640	2661
194	642	2652
195	645	2645
196	647	2637
197	648	2628
198	654	2633
199	656	2624
200	657	2614
201	660	2609
202	662	2602
203	672	2625
204	675	2620
205	677	2613
206	682	2614
207	684	2605
208	685	2595
209	687	2586
210	689	2579
211	691	2570
212	693	2562
213	702	2579
214	705	2577
215	707	2568
216	709	2559
217	713	2558
218	715	2550
219	716	2541
220	719	2535
221	721	2528
222	723	2522
223	728	2523
224	730	2516
225	732	2508
226	734	2500
227	736	2492
228	737	2483
229	739	2474
230	740	2464
