iter	Passed	Remaining
0	4	443
1	8	428
2	12	401
3	15	369
4	19	366
5	23	363
6	26	358
7	29	335
8	31	316
9	33	300
10	35	290
11	38	278
12	40	269
13	42	259
14	44	252
15	46	245
16	48	238
17	51	234
18	53	228
19	54	219
20	56	211
21	57	204
22	59	198
23	60	191
24	62	186
25	63	180
26	65	175
27	67	173
28	69	169
29	70	165
30	72	160
31	73	156
32	74	152
33	76	148
34	77	144
35	79	140
36	80	137
37	81	133
38	83	130
39	84	126
40	85	123
41	86	118
42	87	115
43	88	112
44	89	109
45	91	106
46	92	104
47	93	101
48	95	99
49	96	96
50	97	93
51	99	91
52	100	88
53	101	86
54	102	83
55	103	81
56	104	78
57	105	76
58	106	74
59	108	72
60	109	70
61	110	67
62	111	65
63	113	63
64	114	61
65	115	59
66	116	57
67	117	55
68	118	53
69	120	51
70	121	49
71	122	47
72	123	45
73	125	43
74	126	42
75	127	40
76	128	38
77	129	36
78	130	34
79	132	33
80	133	31
81	134	29
82	135	27
83	136	26
84	138	24
85	139	22
86	140	21
87	141	19
88	143	17
89	144	16
90	145	14
91	146	12
92	147	11
93	148	9
94	150	7
95	151	6
96	152	4
97	153	3
98	154	1
99	156	0
